ParticleType,Energy
pi-,391.062
2pi-,390.043
2pi-,390.043
pi-,734.035
pi-,734.035
2pi-,733.1
2pi-,733.1
pi+,416.469
pi+,416.469
2pi+,415.512
2pi+,415.512
pi+,311.307
pi+,311.307
pi+,311.307
2pi+,310.078
2pi+,310.078
2pi+,310.078
pi+,448.198
pi+,448.198
2pi+,447.102
2pi+,447.102
pi+,915.594
pi+,915.594
2pi+,914.477
2pi+,914.477
pi-,265.654
pi-,265.654
pi-,265.654
2pi-,264.734
2pi-,264.734
2pi-,264.734
pi-,103.679
pi-,103.679
pi-,103.679
2pi-,101.622
2pi-,101.622
2pi-,101.622
pi+,348.723
pi+,348.723
2pi+,347.412
2pi+,347.412
pi+,810.834
pi+,810.834
2pi+,809.57
2pi+,809.57
pi+,469.406
pi+,469.406
2pi+,467.711
2pi+,467.711
pi-,367.374
pi-,367.374
2pi-,365.818
2pi-,365.818
pi+,1580.06
pi+,1580.06
2pi+,1578.87
2pi+,1578.87
pi-,297.859
pi-,297.859
2pi-,296.49
2pi-,296.49
mu-,16.6492
mu-,16.6492
mu-,16.6492
pi+,588.929
pi+,588.929
2pi+,587.453
2pi+,587.453
pi-,574.986
pi-,574.986
pi-,253.778
pi-,253.778
pi-,253.778
2mu-,159.45
2mu-,159.45
2mu-,159.45
pi-,278.52
pi-,278.52
2pi-,277.16
2pi-,277.16
pi-,289.162
pi-,289.162
pi-,289.162
2mu-,178.002
2mu-,178.002
2mu-,178.002
pi+,520.326
pi+,520.326
2mu+,359.791
2mu+,359.791
mu-,200.299
mu-,200.299
mu-,200.299
2mu-,198.984
2mu-,198.984
2mu-,198.984
pi+,678.652
pi+,678.652
2pi+,677.232
2pi+,677.232
pi-,531.614
pi-,531.614
2pi-,530.696
2pi-,530.696
pi+,233.806
pi+,233.806
pi+,233.806
2pi+,232.711
2pi+,232.711
2pi+,232.711
pi-,1580.91
